,2009,2010,2011,2012,2013
Turkey_Adana,191199,246908,262990,287152,431778
Turkey_Adiyaman,25665,33019,35707,39031,48150
Turkey_Afyon,15083,39954,55905,65167,81570
Turkey_Agri,4186,5931,11888,17703,24346
Turkey_Aksaray,3754,11572,23831,27580,33625
Turkey_Amasya,28414,34302,32882,39314,45547
Turkey_Ankara,73370,215312,391568,442082,487029
Turkey_Antalya,75508,97060,215639,258063,292221
Turkey_Ardahan,2373,2909,4071,4991,8777
Turkey_Artvin,7594,11816,16688,18768,19663
Turkey_Aydin,33065,50012,120223,162625,181515
Turkey_Balikesir,61243,82041,186990,193885,213237
Turkey_Bartin,22949,27658,28004,33514,36231
Turkey_Batman,5617,10274,15670,21596,26914
Turkey_Bayburt,2244,4003,5476,5734,6730
Turkey_Bilecik,14321,19758,25690,27980,32882
Turkey_Bingol,5622,9144,12181,11360,15151
Turkey_Bitlis,3148,8361,10726,9975,13901
Turkey_Bolu,23985,30043,38008,36544,40358
Turkey_Burdur,109043,242065,304010,323402,390897
Turkey_Bursa,26595,26026,35322,41789,45057
Turkey_Canakkale,26185,55931,80736,78746,92520
Turkey_Cankiri,3703,10118,13530,15031,18725
Turkey_Corum,31908,51370,59381,52011,64177
Turkey_Denizli,87786,111247,116807,142541,150900
Turkey_Diyarbakir,14948,16474,40463,70294,90053
Turkey_Duzce,23517,29236,32567,39121,44932
Turkey_Edirne,41678,57691,70132,69063,72542
Turkey_Elazig,29656,37194,42029,44443,50225
Turkey_Erzincan,6111,12133,13340,16834,18796
Turkey_Erzurum,22165,30850,36396,44072,59116
Turkey_Eskisehir,79519,90060,117848,119774,135226
Turkey_Gaziantep,39860,75240,11389,138586,168336
Turkey_Giresun,21876,29285,55992,67764,75796
Turkey_Gumushane,8326,13770,15158,13339,13499
Turkey_Hakkari,2166,4383,8650,10148,10594
Turkey_Hatay,33143,42753,126212,144422,163365
Turkey_Igdir,2915,6808,8513,12980,13457
Turkey_Isparta,37492,52186,60234,68340,79727
Turkey_Istanbul,262364,398122,1017040,1244264,1498340
Turkey_Izmir,461326,472932,527391,556334,583633
Turkey_K. Maras,31395,40834,69001,89394,113090
Turkey_Karabuk,17407,23478,33955,29008,36898
Turkey_Karaman,18711,24211,27356,26597,30910
Turkey_Kars,3653,4425,11450,14183,18531
Turkey_Kastamonu,22814,31700,36790,39080,42537
Turkey_Kayseri,48814,78517,89142,110561,123561
Turkey_Kilis,5563,22122,25028,26229,32876
Turkey_Kinkkale,14413,33949,49941,56891,59980
Turkey_Kirklareli,19199,14310,22619,23421,27518
Turkey_Kirsehir,12346,8555,8706,10609,12691
Turkey_Kocaeli,51571,77497,1671126,197600,231751
Turkey_Konya,42065,117828,205306,191787,231756
Turkey_Kutahya,17318,53555,70035,70787,85630
Turkey_Malatya,16946,28419,43954,57125,76698
Turkey_Manisa,71104,115964,152826,188127,219778
Turkey_Mardin,15267,13097,28828,34019,38537
Turkey_Mersin,24266,80004,174367,207258,245720
Turkey_Mugla,17604,35884,99037,109506,133902
Turkey_Mus,5545,7201,13140,9800,15122
Turkey_Nevsehir,14664,21100,27101,34053,36195
Turkey_Nigde,11133,16162,46919,42909,42047
Turkey_Ordu,24028,57299,83048,95945,102605
Turkey_Osmaniye,31972,40143,52596,63638,74620
Turkey_Rize,30688,42134,50223,57880,61717
Turkey_Sakarya,41667,98990,114807,118652,133084
Turkey_Samsun,119554,165489,182827,188218,196244
Turkey_Sanliurfa,25773,41604,74803,108121,137392
Turkey_Siirt,2670,2531,8112,9544,14803
Turkey_Sinop,20788,19005,21736,26535,29907
Turkey_Sirnak,5418,2105,16547,11520,17850
Turkey_Sivas,12340,26670,34041,56297,75772
Turkey_Tekirdag,49375,76737,115358,126240,141058
Turkey_Tokat,23422,36668,59305,63693,66885
Turkey_Trabzon,87003,118820,142773,148178,164225
Turkey_Tunceli,2481,4386,4882,5262,7463
Turkey_Usak,19173,41817,46432,35543,46863
Turkey_Van,16264,25092,32302,42122,55982
Turkey_Yalova,19547,21413,27258,31980,38232
Turkey_Yozgat,10923,15008,28323,35351,37603
Turkey_Zonguldak,24855,51992,97305,96545,115530
